reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,notifying,operator,origin,hazards
"2022.3711","fish and products thereof ","food","Too high level of Mercury in grouper fish","24-06-2022 15:09:09","France","information notification for attention","serious","","","","","","",""
"2022.3679","fish and products thereof ","food","mercury in swordfish from Seychelles","23-06-2022 10:37:18","France","information notification for attention","serious","","","","","","",""
"2022.3657","cephalopods and products thereof","food","Rotura de la cadena de frío en Sepia (Sepia officinalis) y Pota (Illex) congelada de Marruecos. // Poor temperature control in frozen Cuttle fish (Sepia officinalis) and Squid (Illex)) from  Morocco.","22-06-2022 15:23:21","Spain","border rejection notification","not serious","","","","","","",""
"2022.3637","prepared dishes and snacks","food","egg and fish undeclared on chilled tuna pasta salad mislabelled as feta pasta salad from Belgium","21-06-2022 15:34:28","Belgium","alert notification","serious","","","","","","",""
"2022.3560","fish and products thereof ","food","dried fish products with logo Mama Africa ","17-06-2022 10:49:36","Italy","information notification for follow-up","undecided","","","","","","",""
"2022.3532","fish and products thereof ","food","High levels of mercury in frozen fish from the United States","15-06-2022 15:57:47","Lithuania","border rejection notification","serious","","","","","","",""
"2022.3504","feed materials","feed","Dioxins in Refined fish oil from China","14-06-2022 15:02:42","Netherlands","information notification for attention","serious","","","","","","",""
"2022.3432","prepared dishes and snacks","food","undeclared allergens milk and fish in greenpea mock crackling from the Philippines","10-06-2022 15:54:38","European Commission","alert notification","serious","","","","","","",""
"2022.3233","fish and products thereof ","food","Possible foodborne outbreak suspected to be caused by fresh tuna fish from India via Neatherlands","01-06-2022 17:12:02","Czech Republic","information notification for attention","undecided","","","","","","",""
"2022.3189","fish and products thereof ","food","Presence of mercury above legal limits in swordfish from Spain","31-05-2022 16:44:55","Italy","alert notification","serious","","","","","","",""
"2022.3137","feed materials","feed","Salmonella in fishmeal from Denmark","30-05-2022 12:21:59","Belgium","information notification for follow-up","not serious","","","","","","",""
"2022.2835","fish and products thereof ","food","Mercury beyond the limits in vacuum packed swordfish steak","12-05-2022 17:42:53","Italy","information notification for attention","serious","","","","","","",""
"2022.2832","fish and products thereof ","food","Rotura de la cadena de frío en surimi de Estados Unidos.Poor temperature control is fishery products from United States.","12-05-2022 17:23:18","Spain","border rejection notification","undecided","","","","","","",""
"2022.2821","fish and products thereof ","food","Presenza di mercurio oltre i limiti in pesce spada dalla Spagna / Presence of mercury above legal limits in swordfish from Spain","12-05-2022 14:29:17","Italy","information notification for attention","serious","","","","","","",""
"2022.2780","fish and products thereof ","food","parasitic infestation with Anisakis (massive presence of live larvae in celomatic cavity) of chilled monkfish (Lophius piscatorius) from France","11-05-2022 16:56:47","Italy","information notification for attention","not serious","","","","","","",""
"2022.2749","feed materials","feed","PRESENZA DI SALMONELLA INFANTIS IN FARINA DI PESCE/ presence of salmonella infantis in fish meal from Denmark","10-05-2022 16:51:12","Italy","information notification for follow-up","not serious","","","","","","",""
